"Table 5.4 Education and training assignments by detailed occupation, 2021",,,,
2021 National Employment Matrix title,2021 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Physicians, pathologists",29-1222,Doctoral or professional degree,None,Internship/residency
Psychiatrists,29-1223,Doctoral or professional degree,None,Internship/residency
Radiologists,29-1224,Doctoral or professional degree,None,Internship/residency
"Physicians, all other",29-1229,Doctoral or professional degree,None,Internship/residency
"Ophthalmologists, except pediatric",29-1241,Doctoral or professional degree,None,Internship/residency
"Orthopedic surgeons, except pediatric",29-1242,Doctoral or professional degree,None,Internship/residency
Pediatric surgeons,29-1243,Doctoral or professional degree,None,Internship/residency
"Surgeons, all other",29-1249,Doctoral or professional degree,None,Internship/residency
Acupuncturists,29-1291,Master's degree,None,None
Dental hygienists,29-1292,Associate's degree,None,None
"Healthcare diagnosing or treating practitioners, all other",29-1299,Master's degree,None,None
Clinical laboratory technologists and technicians,29-2010,Bachelor's degree,None,None
Cardiovascular technologists and technicians,29-2031,Associate's degree,None,None
Diagnostic medical sonographers,29-2032,Associate's degree,None,None
Nuclear medicine technologists,29-2033,Associate's degree,None,None
Radiologic technologists and technicians,29-2034,Associate's degree,None,None
Magnetic resonance imaging technologists,29-2035,Associate's degree,Less than 5 years,None
Medical dosimetrists,29-2036,Bachelor's degree,None,None
Emergency medical technicians,29-2042,Postsecondary nondegree award,None,None
Paramedics,29-2043,Postsecondary nondegree award,Less than 5 years,None
Dietetic technicians,29-2051,Associate's degree,None,None
Pharmacy technicians,29-2052,High school diploma or equivalent,None,Moderate-term on-the-job training
Psychiatric technicians,29-2053,Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training
Surgical technologists,29-2055,Postsecondary nondegree award,None,None
Veterinary technologists and technicians,29-2056,Associate's degree,None,None
Ophthalmic medical technicians,29-2057,Postsecondary nondegree award,None,None
Licensed practical and licensed vocational nurses,29-2061,Postsecondary nondegree award,None,None
Medical records specialists,29-2072,Postsecondary nondegree award,None,None
"Opticians, dispensing",29-2081,High school diploma or equivalent,None,Long-term on-the-job training
Orthotists and prosthetists,29-2091,Master's degree,None,Internship/residency
Hearing aid specialists,29-2092,High school diploma or equivalent,None,Moderate-term on-the-job training
"Health technologists and technicians, all other",29-2099,Postsecondary nondegree award,None,None
Health information technologists and medical registrars,29-9021,Associate's degree,None,None
Athletic trainers,29-9091,Master's degree,None,None
Genetic counselors,29-9092,Master's degree,None,None
Surgical assistants,29-9093,Postsecondary nondegree award,None,None
"Healthcare practitioners and technical workers, all other",29-9099,Postsecondary nondegree award,None,None
Home health and personal care aides,31-1120,High school diploma or equivalent,None,Short-term on-the-job training
Nursing assistants,31-1131,Postsecondary nondegree award,None,None
Orderlies,31-1132,High school diploma or equivalent,None,Short-term on-the-job training
Psychiatric aides,31-1133,High school diploma or equivalent,None,Short-term on-the-job training
Occupational therapy assistants,31-2011,Associate's degree,None,None
Occupational therapy aides,31-2012,High school diploma or equivalent,None,Short-term on-the-job training
Physical therapist assistants,31-2021,Associate's degree,None,None
Physical therapist aides,31-2022,High school diploma or equivalent,None,Short-term on-the-job training
Massage therapists,31-9011,Postsecondary nondegree award,None,None
Dental assistants,31-9091,Postsecondary nondegree award,None,None
Medical assistants,31-9092,Postsecondary nondegree award,None,None
Medical equipment preparers,31-9093,High school diploma or equivalent,None,Moderate-term on-the-job training
Medical transcriptionists,31-9094,Postsecondary nondegree award,None,None
Pharmacy aides,31-9095,High school diploma or equivalent,None,Short-term on-the-job training
Veterinary assistants and laboratory animal caretakers,31-9096,High school diploma or equivalent,None,Short-term on-the-job training
Phlebotomists,31-9097,Postsecondary nondegree award,None,None
"Healthcare support workers, all other",31-9099,High school diploma or equivalent,None,None
First-line supervisors of correctional officers,33-1011,High school diploma or equivalent,Less than 5 years,None
First-line supervisors of police and detectives,33-1012,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of firefighting and prevention workers,33-1021,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of security workers,33-1091,High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of protective service workers, all other",33-1099,High school diploma or equivalent,Less than 5 years,None
Firefighters,33-2011,Postsecondary nondegree award,None,Long-term on-the-job training
Fire inspectors and investigators,33-2021,Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training
Forest fire inspectors and prevention specialists,33-2022,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Bailiffs,33-3011,High school diploma or equivalent,None,Moderate-term on-the-job training
Correctional officers and jailers,33-3012,High school diploma or equivalent,None,Moderate-term on-the-job training
Detectives and criminal investigators,33-3021,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Fish and game wardens,33-3031,Bachelor's degree,None,Moderate-term on-the-job training
Parking enforcement workers,33-3041,High school diploma or equivalent,None,Short-term on-the-job training
Police and sheriff's patrol officers,33-3051,High school diploma or equivalent,None,Moderate-term on-the-job training
Transit and railroad police,33-3052,High school diploma or equivalent,None,Moderate-term on-the-job training
Animal control workers,33-9011,High school diploma or equivalent,None,Moderate-term on-the-job training
Private detectives and investigators,33-9021,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
